"mes","dia","dolar_compra","dolar_venta","real_compra","real_venta","peso_compra","peso_venta","yen_compra","yen_venta","euro_compra","euro_venta","libra_compra","libra_venta"
"junio","11","4.509,93","4.515,98","2.145,58","2.216,32","975,17","1.007,36","55,00","56,78","5.457,35","5.635,49","6.749,62","6.969,96"
"junio","12","4.509,93","4.515,98","2.145,58","2.216,32","975,17","1.007,36","55,00","56,78","5.457,35","5.635,49","6.749,62","6.969,96"
"junio","13","4.512,15","4.517,28","2.151,07","2.220,67","974,89","1.007,65","55,02","56,81","5.466,61","5.643,44","6.785,33","7.005,40"
"junio","14","4.490,81","4.500,64","2.115,22","2.185,94","969,74","1.003,38","54,86","56,70","5.486,93","5.669,46","6.778,94","7.005,70"
"junio","15","4.518,21","4.536,22","2.114,27","2.188,87","975,55","1.010,29","55,27","57,22","5.519,96","5.713,82","6.806,71","7.046,11"
"junio","16","4.518,21","4.536,22","2.114,27","2.188,87","975,55","1.010,29","55,27","57,22","5.519,96","5.713,82","6.806,71","7.046,11"
"junio","17","4.518,21","4.536,22","2.114,27","2.188,87","975,55","1.010,29","55,27","57,22","5.519,96","5.713,82","6.806,71","7.046,11"
"junio","18","4.539,12","4.553,91","2.159,15","2.233,73","979,19","1.014,12","55,94","57,89","5.564,44","5.756,60","6.893,25","7.131,42"
"junio","19","4.539,17","4.550,51","2.132,41","2.204,70","978,01","1.011,90","55,80","57,68","5.538,53","5.724,54","6.895,09","7.127,92"
"junio","20","4.561,21","4.574,59","2.173,39","2.247,73","982,21","1.017,03","56,04","57,97","5.614,53","5.805,61","6.959,54","7.196,74"
"junio","21","4.583,37","4.587,13","2.190,51","2.260,67","988,81","1.021,59","55,99","57,79","5.650,70","5.831,16","6.999,13","7.221,98"
"junio","22","4.599,21","4.614,68","2.188,27","2.264,10","990,83","1.025,48","55,54","57,46","5.613,57","5.807,11","6.973,35","7.214,13"
"junio","23","4.599,21","4.614,68","2.188,27","2.264,10","990,83","1.025,48","55,54","57,46","5.613,57","5.807,11","6.973,35","7.214,13"
"junio","24","4.599,21","4.614,68","2.188,27","2.264,10","990,83","1.025,48","55,54","57,46","5.613,57","5.807,11","6.973,35","7.214,13"
"junio","25","4.589,80","4.598,62","2.161,43","2.233,10","987,71","1.020,78","55,28","57,11","5.579,38","5.764,83","6.929,26","7.159,13"
"junio","26","4.561,55","4.583,51","2.135,58","2.212,76","980,11","1.016,75","55,57","57,58","5.521,15","5.721,14","6.882,18","7.131,94"
"junio","27","4.500,93","4.521,49","2.102,53","2.179,24","968,48","1.004,33","54,94","56,90","5.441,22","5.635,59","6.812,12","7.055,79"
"junio","28","4.515,90","4.535,59","2.105,87","2.180,99","969,76","1.005,56","54,87","56,82","5.452,31","5.646,81","6.811,12","7.052,84"
"junio","29","4.529,09","4.538,45","2.099,51","2.170,47","974,00","1.007,54","55,37","57,23","5.459,89","5.640,84","6.812,56","7.038,68"
"junio","30","4.529,09","4.538,45","2.099,51","2.170,47","974,00","1.007,54","55,37","57,23","5.459,89","5.640,84","6.812,56","7.038,68"
"julio","01","4.529,09","4.538,45","2.099,51","2.170,47","974,00","1.007,54","55,37","57,23","5.459,89","5.640,84","6.812,56","7.038,68"
"julio","02","4.524,17","4.531,25","2.182,22","2.253,79","969,82","1.001,93","54,94","56,75","5.559,28","5.741,09","6.883,71","7.108,63"
"julio","03","4.491,06","4.505,35","2.190,54","2.266,04","962,19","995,66","54,88","56,77","5.478,52","5.666,83","6.830,72","7.065,29"
"julio","04","4.490,31","4.500,91","2.178,56","2.253,05","962,03","994,68","54,52","56,36","5.488,49","5.673,85","6.827,84","7.057,43"
